Player,GM,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA
"Parker, Matthew",11,87,40,51,138,7,6,,38,5,32,12,35,8,12,,53,86,4,6,10,3,7
"Thomas, Ron",11,96,21,25,121,,,1,,,,,,12,22,,,,,,,,
"McMillan, Geoff",11,83,28,37,120,5,7,,,,,,,13,13,,,,,,,,
"Schaefer, Robert",11,72,35,43,115,3,5,88,2,,,,,11,10,,,,,,,,
"Dickson, Glenn",11,85,30,22,107,10,13,2,,,,,,15,14,,,,,,,,
"Pirrie, Stephen",11,71,29,24,95,,,4,,,,,,13,17,,,,,,,,
"Roach, Tom",11,48,11,32,80,1,1,,10,10,10,6,9,2,,,21,57,1,,7,1,4
"Tschirpig, Bruce",10,108,26,31,139,12,10,,,,,,,20,17,6,,,,,,,
"Rolfe, Michael",10,92,10,44,136,4,9,,,,,,,12,35,,,,,,,,
"Davidson, Garry",10,84,36,52,136,9,6,1,,,,,,9,21,,,,,,,,
"Betts, Gerald",10,81,24,35,116,,1,1,,,,,,13,14,,,,,,,,
"McDonough, Matt",10,64,21,44,108,1,2,,21,21,17,8,11,4,6,,32,76,2,1,17,11,1
"Noonan, Alan",10,71,44,32,103,14,15,,,,,,,7,17,,,,,,,,
"Berry, Jeff",10,65,19,35,100,,3,,,,,,,18,10,,,,,,,,
"Beale, Darryl",10,90,32,9,99,,,,,,,,,7,17,,,,,,,,
"Winton, Brian",10,75,25,23,98,3,5,1,,,,,,9,12,,,,,,,,
"Nicholls, Bill",10,49,30,35,84,2,5,,8,2,19,12,14,3,4,,30,54,4,6,11,,2
"Maric, Addam",10,40,15,43,83,1,2,,18,3,11,,14,2,3,,21,61,1,1,4,3,5
"Elton, Todd",10,40,31,40,80,2,7,24,16,5,11,3,18,4,6,,37,45,13,7,10,1,2
"Lefau, Mykelti",10,45,31,27,72,14,5,15,19,1,16,5,21,6,7,,35,44,1,18,28,1,7
"Beckwith, Bill",10,56,8,6,62,8,8,,,,,,,8,8,,,,,,,,
"Eggmolesse-Smith, Derek",9,78,20,43,121,,,,19,24,9,1,24,6,11,2,29,82,1,,4,3,
"Vernon, Daryl",9,76,9,33,109,3,7,,,,,,,12,10,3,,,,,,,
"Elliott, Jamie",9,62,20,46,108,1,,,9,,,,,2,7,,,,,,,,
"Hummel, Jon",9,77,26,29,106,7,8,,,,,,,11,13,,,,,,,,
"Naish, Patrick",9,55,18,42,97,3,,,17,11,21,5,14,5,3,,24,73,,,3,1,3
